t_stamp,temp
04-11-2018 14:40:14,11.6
04-11-2018 14:42:14,11.6
11-04-2018 14:43:16,11.7
11-04-2018 14:47:04,11.7
11-04-2018 14:49:04,11.7
11-04-2018 14:51:04,11.7
11-04-2018 14:53:04,11.7
11-04-2018 14:53:23,11.7
11-04-2018 14:55:23,11.7
11-04-2018 14:57:23,11.7
11-04-2018 14:59:23,11.7
11-04-2018 15:01:23,11.7
11-04-2018 15:03:23,11.7
11-04-2018 15:05:23,11.7
11-04-2018 15:07:23,11.7
11-04-2018 15:09:23,11.7
11-04-2018 15:11:23,11.6
11-04-2018 15:13:23,11.7
11-04-2018 15:15:23,11.6
11-04-2018 15:17:23,11.6
11-04-2018 15:19:23,11.7
11-04-2018 15:21:23,11.6
11-04-2018 15:22:44,11.7
11-04-2018 15:24:44,11.6
11-04-2018 15:26:44,11.6
11-04-2018 15:28:44,11.7
11-04-2018 15:30:44,11.6
11-04-2018 15:32:44,11.7
11-04-2018 15:34:44,11.7
11-04-2018 15:36:44,11.7
11-04-2018 15:38:00,11.7
11-04-2018 15:39:24,11.7
11-04-2018 15:41:24,11.7
11-04-2018 15:43:24,11.7
11-04-2018 15:45:24,11.6
11-04-2018 15:47:24,11.7
11-04-2018 15:49:24,11.6
11-04-2018 15:51:24,11.6
11-04-2018 15:53:24,11.6
11-04-2018 15:55:24,11.6
11-04-2018 15:57:24,11.5
11-04-2018 15:59:24,11.5
11-04-2018 16:01:24,11.5
11-06-2018 20:41:56,12.4
11-06-2018 20:42:30,12.4
11-06-2018 20:43:56,12.4
11-06-2018 20:45:40,12.4
11-06-2018 20:45:56,12.4
11-06-2018 20:47:40,12.4
11-06-2018 20:47:56,12.4
11-06-2018 20:49:40,12.4
11-06-2018 20:49:56,12.4
11-06-2018 20:51:40,12.4
11-06-2018 20:51:56,12.4
11-06-2018 20:53:40,12.4
11-06-2018 20:53:56,12.4
11-06-2018 20:55:38,12.4
11-06-2018 20:57:38,12.4
11-06-2018 20:59:38,12.2
11-06-2018 21:01:38,12.2
11-06-2018 21:03:39,12.2
11-06-2018 21:05:39,12.2
11-06-2018 21:07:39,12.2
11-06-2018 21:09:39,12.4
11-06-2018 21:11:39,12.2
11-06-2018 21:13:39,12.2
11-06-2018 21:15:39,12.2
11-06-2018 21:17:39,12.4
11-06-2018 21:19:39,12.2
11-06-2018 21:21:39,12.2
11-06-2018 21:23:39,12.2
11-06-2018 21:25:39,12.2
11-06-2018 21:27:39,12.2
11-06-2018 21:29:39,12.4
11-06-2018 21:31:28,12.4
11-06-2018 21:33:28,12.4
11-06-2018 21:35:28,12.4
11-06-2018 21:37:28,12.4
11-06-2018 21:39:28,12.4
11-06-2018 21:41:28,12.2
11-06-2018 21:43:28,12.4
11-06-2018 21:44:54,12.2
11-06-2018 21:50:55,12.4
11-06-2018 21:53:17,12.4
11-06-2018 21:53:47,12.4
