t_stamp,temp
2018-11-30 22:21:29,6.1
2018-11-30 22:21:39,6.1
2018-11-30 22:21:49,6.1
2018-11-30 22:21:59,6.1
2018-11-30 22:22:09,6.1
2018-11-30 22:22:19,6.1
2018-11-30 22:22:29,6.1
2018-11-30 22:22:39,6.1
2018-11-30 22:22:49,6.1
2018-11-30 22:22:59,5.7
2018-11-30 22:23:09,5.7
2018-11-30 22:23:19,5.7
2018-11-30 22:23:29,5.7
2018-11-30 22:23:39,5.7
2018-11-30 22:23:49,5.7
2018-11-30 22:23:59,5.7
2018-11-30 22:24:09,5.7
2018-11-30 22:24:19,5.7
2018-11-30 22:24:29,5.7
2018-11-30 22:24:39,5.7
2018-11-30 22:24:49,5.7
2018-11-30 22:24:59,5.7
2018-11-30 22:25:09,5.7
2018-11-30 22:25:19,5.7
2018-11-30 22:25:29,5.7
2018-11-30 22:25:39,5.7
2018-11-30 22:25:49,5.7
2018-11-30 22:25:59,5.7
2018-11-30 22:26:09,5.7
2018-11-30 22:26:19,5.7
2018-11-30 22:26:30,5.7
2018-11-30 22:26:40,5.7
2018-11-30 22:26:50,5.7
2018-11-30 22:27:00,5.7
2018-11-30 22:27:10,5.7
2018-11-30 22:27:20,5.7
2018-11-30 22:27:30,5.6
2018-11-30 22:27:40,5.6
2018-11-30 22:27:50,5.6
2018-11-30 22:28:00,5.6
2018-11-30 22:28:10,5.6
2018-11-30 22:28:20,5.6
2018-12-01 11:47:24,5.6
2018-12-01 11:47:34,5.6
2018-12-01 11:47:44,5.6
2018-12-01 11:47:54,5.6
2018-12-01 11:48:04,5.6
2018-12-01 11:48:14,5.6
2018-12-01 11:48:24,5.6
2018-12-01 11:48:34,5.6
2018-12-01 11:48:44,5.6
2018-12-01 11:48:54,5.6
2018-12-01 11:49:04,5.6
2018-12-01 11:49:14,5.6
2018-12-01 11:49:24,5.6
2018-12-01 11:49:34,5.6
2018-12-01 11:49:44,5.6
2018-12-01 11:49:54,5.6
2018-12-01 11:50:04,5.6
2018-12-01 11:50:14,5.6
2018-12-01 11:50:24,10.2
2018-12-01 11:50:34,10.2
2018-12-01 11:50:44,10.2
2018-12-01 11:50:54,10.2
2018-12-01 11:51:05,10.2
2018-12-01 11:51:15,10.2
2018-12-01 11:51:25,10.2
2018-12-01 11:51:35,10.2
2018-12-01 11:51:45,10.2
2018-12-01 11:51:55,10.2
2018-12-01 11:52:05,10.2
2018-12-01 11:52:15,10.2
2018-12-01 11:52:25,10.2
2018-12-01 11:52:35,10.2
2018-12-01 11:52:45,10.2
2018-12-01 11:52:55,10.2
2018-12-01 11:53:05,10.2
2018-12-01 11:53:15,10.2
2018-12-01 11:53:25,10.2
2018-12-01 11:53:35,10.2
2018-12-01 11:53:45,10.2
2018-12-01 11:53:55,10.2
2018-12-01 11:54:05,10.2
2018-12-01 11:54:15,10.2
2018-12-01 11:54:25,10.2
2018-12-01 11:54:35,10.2
2018-12-01 11:54:45,10.2
2018-12-01 11:54:55,10.2
2018-12-01 11:55:05,10.2
2018-12-01 11:55:15,10.2
2018-12-01 11:55:25,10.2
2018-12-01 11:55:35,10.2
2018-12-01 11:55:45,10.2
2018-12-01 11:55:55,10.2
2018-12-01 11:56:05,10.2
2018-12-01 11:56:15,10.2
2018-12-01 11:56:25,10.2
2018-12-01 11:56:35,10.2
2018-12-01 11:56:45,10.2
2018-12-01 11:56:55,10.2
2018-12-01 11:57:05,10.2
2018-12-01 11:57:15,10.2
2018-12-01 11:57:25,10.2
2018-12-01 11:57:35,10.2
2018-12-01 11:57:45,10.2
2018-12-01 11:57:55,10.2
2018-12-01 11:58:05,10.2
2018-12-01 11:58:15,10.2
2018-12-01 11:58:25,10.2
2018-12-01 11:58:35,10.2
2018-12-01 11:58:45,10.2
2018-12-01 11:58:55,10.2
2018-12-01 11:59:05,10.2
2018-12-01 11:59:15,10.2
2018-12-01 11:59:25,10.2
2018-12-01 11:59:35,10.2
2018-12-01 11:59:45,10.2
2018-12-01 11:59:55,10.2
2018-12-01 12:00:05,10.2
2018-12-01 12:00:15,10.2
2018-12-01 12:00:25,10.2
2018-12-01 12:00:35,10.2
2018-12-01 12:00:45,10.2
2018-12-01 12:00:55,10.2
2018-12-01 12:01:05,10.2
2018-12-01 12:01:15,10.2
2018-12-01 12:01:25,10.2
2018-12-01 12:01:35,10.2
2018-12-01 12:01:45,10.2
2018-12-01 12:01:55,10.2
2018-12-01 12:02:05,10.2
2018-12-01 12:02:15,10.2
2018-12-01 12:02:25,10.2
2018-12-01 12:02:35,10.2
2018-12-01 12:02:45,10.2
2018-12-01 12:02:55,10.2
2018-12-01 12:03:05,10.2
2018-12-01 12:03:15,10.2
2018-12-01 12:03:25,10.2
2018-12-01 12:03:35,10.2
2018-12-01 12:03:45,10.2
2018-12-01 12:03:55,10.2
2018-12-01 12:04:05,10.2
2018-12-01 12:04:15,10.2
2018-12-01 12:04:25,10.2
2018-12-01 12:04:35,10.2
2018-12-01 12:04:45,10.2
2018-12-01 12:04:55,10.2
2018-12-01 12:05:05,10.2
2018-12-01 12:05:15,10.2
2018-12-01 12:05:25,10.2
2018-12-01 12:05:35,10.2
2018-12-01 12:05:45,10.2
2018-12-01 12:05:55,10.2
2018-12-01 12:06:05,10.2
2018-12-01 12:06:15,10.2
2018-12-01 12:06:25,10.2
2018-12-01 12:06:35,10.2
2018-12-01 12:06:45,10.2
2018-12-01 12:06:55,10.2
2018-12-01 12:07:05,10.2
2018-12-01 12:07:15,10.2
2018-12-01 12:07:25,10.2
2018-12-01 12:07:35,10.2
2018-12-01 12:07:45,10.2
2018-12-01 12:07:55,10.2
2018-12-01 12:08:05,10.2
2018-12-01 12:08:15,10.2
2018-12-01 12:08:25,10.2
2018-12-01 12:08:35,10.2
2018-12-01 12:08:45,10.2
2018-12-01 12:08:55,10.2
2018-12-01 12:09:05,10.2
2018-12-01 12:09:15,10.2
2018-12-01 12:09:25,10.2
2018-12-01 12:09:36,10.2
2018-12-01 12:09:46,10.2
2018-12-01 12:09:56,10.2
2018-12-01 12:10:06,10.2
2018-12-01 12:10:16,10.2
2018-12-01 12:10:26,10.2
2018-12-01 12:10:36,10.2
2018-12-01 12:10:46,10.2
2018-12-01 12:10:56,10.2
2018-12-01 12:11:06,10.2
2018-12-01 12:11:16,10.2
2018-12-01 12:11:26,10.2
2018-12-01 12:11:36,10.2
2018-12-01 12:11:46,10.2
2018-12-01 12:11:56,10.2
2018-12-01 12:12:06,10.2
2018-12-01 12:12:16,10.2
2018-12-01 12:12:26,10.2
2018-12-01 12:12:36,10.2
2018-12-01 12:12:46,10.2
2018-12-01 12:12:56,10.7
2018-12-01 12:13:06,10.7
